level_0,level_1,Non-satisfaction,Satisfaction,Statistics
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.0,8 (88.89%),1 (11.11%),"$\chi^2$=3104.41, $p$=0.00"
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.1,27 (84.38%),5 (15.62%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.2,56 (84.85%),10 (15.15%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.30000000000000004,158 (85.41%),27 (14.59%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.4,247 (84.30%),46 (15.70%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.5,1122 (72.20%),432 (27.80%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.6000000000000001,1336 (59.64%),904 (40.36%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.7000000000000001,1036 (28.18%),2641 (71.82%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.8,531 (15.36%),2925 (84.64%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.9,57 (6.57%),811 (93.43%),
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,1.0,14 (10.45%),120 (89.55%),
학습 지향 평균,0.3125,163 (99.39%),1 (0.61%),"$\chi^2$=2592.87, $p$=0.00"
학습 지향 평균,0.375,254 (95.85%),11 (4.15%),
학습 지향 평균,0.4375,428 (93.65%),29 (6.35%),
학습 지향 평균,0.5,601 (81.11%),140 (18.89%),
학습 지향 평균,0.5625,484 (46.90%),548 (53.10%),
학습 지향 평균,0.625,479 (35.27%),879 (64.73%),
학습 지향 평균,0.6875,528 (28.31%),1337 (71.69%),
학습 지향 평균,0.75,611 (25.79%),1758 (74.21%),
학습 지향 평균,0.8125,451 (21.29%),1667 (78.71%),
학습 지향 평균,0.875,243 (22.77%),824 (77.23%),
학습 지향 평균,0.9375,124 (22.50%),427 (77.50%),
학습 지향 평균,1.0,71 (19.09%),301 (80.91%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.0,1343 (48.59%),1421 (51.41%),"$\chi^2$=2380.21, $p$=0.00"
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.03225806451612903,2358 (60.88%),1515 (39.12%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.0967741935483871,2 (22.22%),7 (77.78%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.12903225806451613,1 (12.50%),7 (87.50%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.16129032258064516,2 (28.57%),5 (71.43%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.1935483870967742,5 (20.83%),19 (79.17%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.22580645161290322,6 (18.75%),26 (81.25%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.25806451612903225,11 (39.29%),17 (60.71%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.29032258064516125,8 (22.86%),27 (77.14%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.32258064516129026,1 (9.09%),10 (90.91%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.3548387096774194,3 (50.00%),3 (50.00%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.3870967741935484,11 (45.83%),13 (54.17%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.4193548387096774,51 (21.16%),190 (78.84%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.4516129032258064,61 (26.41%),170 (73.59%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.4838709677419355,101 (18.77%),437 (81.23%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.5161290322580645,11 (16.67%),55 (83.33%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.5483870967741935,22 (15.83%),117 (84.17%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.5806451612903225,19 (8.76%),198 (91.24%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.6129032258064515,53 (15.14%),297 (84.86%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.6451612903225806,39 (13.68%),246 (86.32%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.6774193548387096,32 (18.50%),141 (81.50%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.7096774193548386,10 (12.35%),71 (87.65%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.7419354838709677,24 (13.26%),157 (86.74%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.7741935483870968,61 (14.77%),352 (85.23%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.8064516129032258,77 (16.78%),382 (83.22%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.8387096774193548,81 (14.78%),467 (85.22%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.8709677419354838,47 (8.47%),508 (91.53%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.9032258064516129,142 (12.27%),1015 (87.73%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.9354838709677419,4 (14.29%),24 (85.71%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,0.9677419354838709,2 (13.33%),13 (86.67%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,1.0,4 (25.00%),12 (75.00%),
문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,0.0,587 (77.75%),168 (22.25%),"$\chi^2$=1867.72, $p$=0.00"
문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,0.25,1582 (56.38%),1224 (43.62%),
문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,0.5,1668 (38.62%),2651 (61.38%),
문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,0.75,701 (17.33%),3345 (82.67%),
문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,1.0,54 (9.18%),534 (90.82%),
직업관련 목표지향 평균,0.16666666666666669,24 (96.00%),1 (4.00%),"$\chi^2$=1583.51, $p$=0.00"
직업관련 목표지향 평균,0.25,60 (89.55%),7 (10.45%),
직업관련 목표지향 평균,0.33333333333333337,177 (90.31%),19 (9.69%),
직업관련 목표지향 평균,0.41666666666666663,366 (86.32%),58 (13.68%),
직업관련 목표지향 평균,0.5,483 (66.99%),238 (33.01%),
직업관련 목표지향 평균,0.5833333333333334,658 (50.27%),651 (49.73%),
직업관련 목표지향 평균,0.6666666666666666,922 (37.25%),1553 (62.75%),
직업관련 목표지향 평균,0.75,742 (28.83%),1832 (71.17%),
직업관련 목표지향 평균,0.8333333333333333,661 (23.91%),2103 (76.09%),
직업관련 목표지향 평균,0.9166666666666667,334 (23.79%),1070 (76.21%),
직업관련 목표지향 평균,1.0,149 (27.64%),390 (72.36%),
문C2) 귀하께서는 작년(교육이나 학습 프로그램의 참여여부와 관계없이)에 참여하고 싶었지만 참여하지 못했던 평생교육 프로그램이 있었습니까?,0.0,4150 (45.42%),4987 (54.58%),"$\chi^2$=1108.13, $p$=0.00"
문C2) 귀하께서는 작년(교육이나 학습 프로그램의 참여여부와 관계없이)에 참여하고 싶었지만 참여하지 못했던 평생교육 프로그램이 있었습니까?,1.0,442 (13.09%),2935 (86.91%),
문E1-2) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 인터넷강의 또는 컴퓨터(전자책^ 태블릿 PC^스마트폰)를 활용한 학습이 익숙하고 잘된다.,0.0,1212 (61.21%),768 (38.79%),"$\chi^2$=1050.58, $p$=0.00"
문E1-2) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 인터넷강의 또는 컴퓨터(전자책^ 태블릿 PC^스마트폰)를 활용한 학습이 익숙하고 잘된다.,0.25,1313 (46.76%),1495 (53.24%),
문E1-2) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 인터넷강의 또는 컴퓨터(전자책^ 태블릿 PC^스마트폰)를 활용한 학습이 익숙하고 잘된다.,0.5,993 (31.10%),2200 (68.90%),
문E1-2) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 인터넷강의 또는 컴퓨터(전자책^ 태블릿 PC^스마트폰)를 활용한 학습이 익숙하고 잘된다.,0.75,883 (26.51%),2448 (73.49%),
문E1-2) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 인터넷강의 또는 컴퓨터(전자책^ 태블릿 PC^스마트폰)를 활용한 학습이 익숙하고 잘된다.,1.0,191 (15.89%),1011 (84.11%),
문E1-1) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 책이나 판서 수업 중심으로 공부하는 것이 익숙하고 잘된다.,0.0,532 (71.51%),212 (28.49%),"$\chi^2$=1033.87, $p$=0.00"
문E1-1) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 책이나 판서 수업 중심으로 공부하는 것이 익숙하고 잘된다.,0.25,1276 (52.34%),1162 (47.66%),
문E1-1) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 책이나 판서 수업 중심으로 공부하는 것이 익숙하고 잘된다.,0.5,1441 (38.44%),2308 (61.56%),
문E1-1) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 책이나 판서 수업 중심으로 공부하는 것이 익숙하고 잘된다.,0.75,1144 (24.13%),3597 (75.87%),
문E1-1) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 책이나 판서 수업 중심으로 공부하는 것이 익숙하고 잘된다.,1.0,199 (23.63%),643 (76.37%),
무형식학습(온라인) 참여,0.0,2260 (56.46%),1743 (43.54%),"$\chi^2$=988.33, $p$=0.00"
무형식학습(온라인) 참여,1.0,2332 (27.40%),6179 (72.60%),
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,0.0,110 (82.09%),24 (17.91%),"$\chi^2$=972.84, $p$=0.00"
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,0.14285714285714285,733 (66.33%),372 (33.67%),
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,0.2857142857142857,648 (53.91%),554 (46.09%),
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,0.42857142857142855,1723 (35.02%),3197 (64.98%),
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,0.5714285714285714,631 (32.51%),1310 (67.49%),
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,0.7142857142857142,735 (23.87%),2344 (76.13%),
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,0.8571428571428572,11 (10.19%),97 (89.81%),
DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,1.0,1 (4.00%),24 (96.00%),
월 가구소득,0.0,523 (71.55%),208 (28.45%),"$\chi^2$=960.17, $p$=0.00"
월 가구소득,0.25,1132 (54.32%),952 (45.68%),
월 가구소득,0.5,1627 (35.93%),2901 (64.07%),
월 가구소득,0.75,1284 (25.10%),3831 (74.90%),
월 가구소득,1.0,26 (46.43%),30 (53.57%),
문D1) 귀하께서는 작년에 평생교육 프로그램 관련 정보를 접한 적이 있습니까?,0.0,3889 (45.60%),4639 (54.40%),"$\chi^2$=913.34, $p$=0.00"
문D1) 귀하께서는 작년에 평생교육 프로그램 관련 정보를 접한 적이 있습니까?,1.0,703 (17.64%),3283 (82.36%),
무형식학습 (암묵적 학습) 참여,0.0,3179 (48.45%),3383 (51.55%),"$\chi^2$=819.01, $p$=0.00"
무형식학습 (암묵적 학습) 참여,1.0,1413 (23.74%),4539 (76.26%),
문E1-3) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 혼자서 공부하는 것이 익숙하고 좋다.,0.0,656 (61.60%),409 (38.40%),"$\chi^2$=781.59, $p$=0.00"
문E1-3) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 혼자서 공부하는 것이 익숙하고 좋다.,0.25,1423 (49.17%),1471 (50.83%),
문E1-3) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 혼자서 공부하는 것이 익숙하고 좋다.,0.5,1349 (34.47%),2564 (65.53%),
문E1-3) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 혼자서 공부하는 것이 익숙하고 좋다.,0.75,1040 (26.62%),2867 (73.38%),
문E1-3) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 혼자서 공부하는 것이 익숙하고 좋다.,1.0,124 (16.87%),611 (83.13%),
만 연령,0.0,136 (37.78%),224 (62.22%),"$\chi^2$=703.78, $p$=0.00"
만 연령,0.018518518518518545,97 (42.17%),133 (57.83%),
만 연령,0.03703703703703709,70 (32.56%),145 (67.44%),
만 연령,0.05555555555555558,74 (38.74%),117 (61.26%),
만 연령,0.07407407407407407,70 (37.43%),117 (62.57%),
만 연령,0.09259259259259267,70 (37.43%),117 (62.57%),
만 연령,0.11111111111111116,69 (37.30%),116 (62.70%),
만 연령,0.12962962962962965,55 (30.05%),128 (69.95%),
만 연령,0.14814814814814814,69 (40.35%),102 (59.65%),
만 연령,0.16666666666666663,64 (34.97%),119 (65.03%),
만 연령,0.18518518518518523,114 (39.72%),173 (60.28%),
만 연령,0.20370370370370372,90 (34.62%),170 (65.38%),
만 연령,0.2222222222222222,65 (31.40%),142 (68.60%),
만 연령,0.2407407407407408,71 (32.57%),147 (67.43%),
만 연령,0.2592592592592593,70 (31.53%),152 (68.47%),
만 연령,0.2777777777777778,53 (24.54%),163 (75.46%),
만 연령,0.2962962962962963,64 (27.59%),168 (72.41%),
만 연령,0.31481481481481477,59 (28.23%),150 (71.77%),
만 연령,0.33333333333333337,62 (25.41%),182 (74.59%),
만 연령,0.35185185185185186,77 (34.38%),147 (65.62%),
만 연령,0.37037037037037035,63 (27.75%),164 (72.25%),
만 연령,0.38888888888888895,57 (25.11%),170 (74.89%),
만 연령,0.40740740740740744,65 (26.10%),184 (73.90%),
만 연령,0.42592592592592593,61 (28.37%),154 (71.63%),
만 연령,0.4444444444444444,79 (28.01%),203 (71.99%),
만 연령,0.4629629629629629,71 (28.98%),174 (71.02%),
만 연령,0.4814814814814815,77 (23.84%),246 (76.16%),
만 연령,0.5,95 (28.53%),238 (71.47%),
만 연령,0.5185185185185185,94 (28.14%),240 (71.86%),
만 연령,0.5370370370370371,93 (30.29%),214 (69.71%),
만 연령,0.5555555555555555,82 (29.60%),195 (70.40%),
만 연령,0.5740740740740741,95 (29.87%),223 (70.13%),
만 연령,0.5925925925925927,96 (33.22%),193 (66.78%),
만 연령,0.611111111111111,88 (31.54%),191 (68.46%),
만 연령,0.6296296296296297,100 (31.06%),222 (68.94%),
만 연령,0.6481481481481483,103 (32.91%),210 (67.09%),
만 연령,0.6666666666666666,93 (33.70%),183 (66.30%),
만 연령,0.6851851851851852,109 (35.05%),202 (64.95%),
만 연령,0.7037037037037036,112 (40.14%),167 (59.86%),
만 연령,0.7222222222222222,108 (40.60%),158 (59.40%),
만 연령,0.7407407407407408,102 (36.82%),175 (63.18%),
만 연령,0.7592592592592592,107 (45.73%),127 (54.27%),
만 연령,0.7777777777777778,96 (44.44%),120 (55.56%),
만 연령,0.7962962962962962,118 (52.68%),106 (47.32%),
만 연령,0.8148148148148148,89 (52.98%),79 (47.02%),
만 연령,0.8333333333333334,106 (56.38%),82 (43.62%),
만 연령,0.8518518518518517,99 (57.89%),72 (42.11%),
만 연령,0.8703703703703703,79 (58.52%),56 (41.48%),
만 연령,0.888888888888889,80 (58.82%),56 (41.18%),
만 연령,0.9074074074074073,84 (63.64%),48 (36.36%),
만 연령,0.9259259259259259,81 (66.39%),41 (33.61%),
만 연령,0.9444444444444445,86 (70.49%),36 (29.51%),
만 연령,0.9629629629629629,93 (73.81%),33 (26.19%),
만 연령,0.9814814814814815,79 (66.39%),40 (33.61%),
만 연령,0.9999999999999999,53 (86.89%),8 (13.11%),
DQ6. 귀하께서는 건강에 자신 있습니까?_3,0.0,3523 (32.56%),7297 (67.44%),"$\chi^2$=586.96, $p$=0.00"
DQ6. 귀하께서는 건강에 자신 있습니까?_3,1.0,1069 (63.11%),625 (36.89%),
DQ6. 귀하께서는 건강에 자신 있습니까?_1,0.0,3592 (43.57%),4652 (56.43%),"$\chi^2$=490.90, $p$=0.00"
DQ6. 귀하께서는 건강에 자신 있습니까?_1,1.0,1000 (23.42%),3270 (76.58%),
연령별(1),0.0,633 (36.55%),1099 (63.45%),"$\chi^2$=468.44, $p$=0.00"
연령별(1),0.2,733 (32.74%),1506 (67.26%),
연령별(1),0.4000000000000001,728 (28.32%),1843 (71.68%),
연령별(1),0.6000000000000001,923 (31.32%),2024 (68.68%),
연령별(1),0.8,1232 (49.76%),1244 (50.24%),
연령별(1),1.0000000000000002,343 (62.48%),206 (37.52%),
무형식학습(의존형) 참여,0.0,1381 (55.37%),1113 (44.63%),"$\chi^2$=466.78, $p$=0.00"
무형식학습(의존형) 참여,1.0,3211 (32.05%),6809 (67.95%),
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (4)인문교양교육,0.0,4296 (40.64%),6276 (59.36%),"$\chi^2$=454.33, $p$=0.00"
문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (4)인문교양교육,1.0,296 (15.24%),1646 (84.76%),
DQ3. 몇 명과 함께 지내고 있습니까?__명,0.0,564 (58.32%),403 (41.68%),"$\chi^2$=372.30, $p$=0.00"
DQ3. 몇 명과 함께 지내고 있습니까?__명,0.125,1662 (40.58%),2434 (59.42%),
DQ3. 몇 명과 함께 지내고 있습니까?__명,0.25,1176 (37.16%),1989 (62.84%),
DQ3. 몇 명과 함께 지내고 있습니까?__명,0.375,915 (27.78%),2379 (72.22%),
DQ3. 몇 명과 함께 지내고 있습니까?__명,0.5,225 (28.20%),573 (71.80%),
DQ3. 몇 명과 함께 지내고 있습니까?__명,0.625,33 (22.60%),113 (77.40%),
DQ3. 몇 명과 함께 지내고 있습니까?__명,0.75,14 (32.56%),29 (67.44%),
DQ3. 몇 명과 함께 지내고 있습니까?__명,0.875,2 (50.00%),2 (50.00%),
DQ6. 귀하께서는 건강에 자신 있습니까?_4,0.0,4300 (35.37%),7858 (64.63%),"$\chi^2$=322.08, $p$=0.00"
DQ6. 귀하께서는 건강에 자신 있습니까?_4,1.0,292 (82.02%),64 (17.98%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.0,1672 (44.84%),2057 (55.16%),"$\chi^2$=320.08, $p$=0.00"
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.01,173 (48.46%),184 (51.54%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.02,259 (43.60%),335 (56.40%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.03,278 (38.34%),447 (61.66%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.04,304 (36.58%),527 (63.42%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.05,134 (34.63%),253 (65.37%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.060000000000000005,278 (31.66%),600 (68.34%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.06999999999999999,118 (31.38%),258 (68.62%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.08,97 (27.87%),251 (72.13%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.09,82 (28.98%),201 (71.02%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.09999999999999999,19 (19.39%),79 (80.61%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.11,244 (28.98%),598 (71.02%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.12,19 (22.09%),67 (77.91%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.13,63 (23.77%),202 (76.23%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.14,38 (34.23%),73 (65.77%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.15000000000000002,14 (27.45%),37 (72.55%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.16,176 (32.29%),369 (67.71%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.17,17 (25.37%),50 (74.63%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.18000000000000002,19 (24.36%),59 (75.64%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.19,23 (24.21%),72 (75.79%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.2,6 (28.57%),15 (71.43%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.21000000000000002,169 (28.60%),422 (71.40%),
DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,0.22,8 (26.67%),22 (73.33%),
